"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","5.0 kg","56","","Australia","Cascade Plateau"
"2","unsexed","","","10","Ireland","continental slope"
"3","female","5.7 kg","58","24","Madagascar","Madagascar ridge"
"4","male","1.9 kg","40","15","Madagascar","Madagascar ridge"
"5","unsexed","3.5 kg","45","50","New Zealand","New Zealand"
"6","unsexed","","","93","New Zealand","New Zealand EEZ (1984 - 2003)"
"7","unsexed","","","134","","Not available."
"8","mixed","","67","130","France","Southern Brittany, 1995-97"
"9","unsexed","","40.4","149","Australia","Tasmania and South Australia, 1988-89"
"10","male","1.8 kg","39","15","Australia","West Australian ridge"
"11","female","4.4 kg","50.5","20","Australia","West Australian ridge"
