"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","288","25","South Africa","South Africa"
"2","male","","294","30","South Africa","South Africa"
"3","unsexed","","300","","South Africa","South Africa"
"4","unsexed","","295","","Australia","southern waters"
"5","male","","","30","Australia","southern waters"
"6","female","","","25","Australia","southern waters"
"7","female","","292","25","","Southwestern Indian Ocean (1)"
"8","male","","294","30","","Southwestern Indian Ocean (1)"
"9","female","","303","","","Southwestern Indian Ocean (2)"
"10","male","","293","","","Southwestern Indian Ocean (2)"
