"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","5","Italy","Adriatic Sea"
"2","unsexed","","","4","Spain","Bay of Biscay"
"3","unsexed","","","4","","Bay of Biscay"
"4","unsexed","","","5","","Bay of Biscay, 1987-1988"
"5","mixed","","","3","","Bay of Biscay, Iberian waters and Mediterranean"
"6","unsexed","","16","3","","Black Sea"
"7","female","21.10 g","16","3","Turkey","Black Sea, 1986-87"
"8","female","18.12 g","14.9","3","Turkey","Black Sea, 2000-2003"
"9","unsexed","","","4","","Black Sea, Soviet waters"
"10","unsexed","","","4","Spain","Gulf of Cadiz"
"11","unsexed","","","2.5","Italy","Mediterranean (early spawners)"
"12","unsexed","","","2","Italy","Mediterranean (late spawners)"
"13","unsexed","","19","4","Italy","Middle Adriatic Sea"
"14","unsexed","","21","3","","North Sea"
"15","unsexed","","","3","Namibia","South West Africa"
"16","unsexed","","","4","Italy","Strait of Sicily"
"17","unsexed","","","5","Croatia","Zrmanja River estuaury, Jan-Dec 2003"
