"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","mixed","","18","4","Greece","Aegean and Ionian Seas"
"2","unsexed","","23.5","","Portugal","Aveiro, 1965-66"
"3","mixed","","27","13","Spain","Bay of Biscay-Iberian waters, 2000-2005"
"4","unsexed","","20","","Italy","Central Adriatic Sea"
"5","unsexed","","","10","","Eastern Adriatic Sea"
"6","unsexed","","22","","Portugal","Lisboa, 1965-66"
"7","unsexed","","","8","Spain","Mediterranean coast, near Formentera"
"8","unsexed","","","14","UK","North Sea/Channel"
"9","unsexed","","17.5","","Portugal","Ohao, 1965-66"
"10","unsexed","","19.7","","Spain","Vinaroz-Castellon-Columbretes"
