"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","60.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=46594&pref=34274&sex=male&loo=60.90000&k=0.10500&id2=56566&genusname=Cycleptus&speciesname=meridionalis&gm_loo=65.384860633024&gm_lm=1&gm_m=1&gm_k=0.11993748371548&vautoctr=5313&gm_lm_rl=1"">0.11</a>","-1.34","M","","","","2.59","USA","Pearl and Pascagoula rivers, Mississippi","No","No"
"2","70.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=46594&pref=34274&sex=female&loo=70.20000&k=0.13700&id2=56566&genusname=Cycleptus&speciesname=meridionalis&gm_loo=65.384860633024&gm_lm=1&gm_m=1&gm_k=0.11993748371548&vautoctr=5314&gm_lm_rl=1"">0.14</a>","-1.39","F","","","","2.83","USA","Pearl and Pascagoula rivers, Mississippi","No","No"
