"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","14","","Global","East Indies"
"2","unsexed","","15","","Japan","Japan"
"3","unsexed","","13.9","","India","Lakshadweep lagoon, 1993-97"
