"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","21","6.5","Australia","Australia"
"2","unsexed","","","13","USA","California"
"3","unsexed","","","15","","California Current Region"
"4","unsexed","","","9","New Zealand","Not given."
"5","unsexed","","24","6","USA","off southern California, 1971-78"
"6","unsexed","","39","","Peru","Peru"
"7","unsexed","","24","9","Japan","Seikai"
"8","unsexed","","","8","South Africa","South Africa"
"9","unsexed","","30","","South Africa","South Africa"
"10","unsexed","","24","5.5","Namibia","Walvis Bay, 20 m"
