"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","35.6","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10631&pref=5760&sex=mixed&loo=35.60000&k=0.35000&id2=10308&genusname=Patagonotothen&speciesname=ramsayi&gm_loo=39.757263487318&gm_lm=1&gm_m=1&gm_k=0.27748873851023&vautoctr=4789&gm_lm_rl=1"">0.35</a>","","","","20.0","","2.65","Antarctica","","No","No"
"2","44.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10631&pref=5760&sex=mixed&loo=44.40000&k=0.22000&id2=10308&genusname=Patagonotothen&speciesname=ramsayi&gm_loo=39.757263487318&gm_lm=1&gm_m=1&gm_k=0.27748873851023&vautoctr=4790&gm_lm_rl=1"">0.22</a>","","","","20.0","","2.64","Antarctica","","No","No"
