"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","110.0 kg","","","Thailand","Bentjamin Lake, 2001"
"2","female","293.0 kg","270","","Thailand","Mekong River, northern region, 2005 (May)"
