"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","121.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2255&pref=54020&sex=mixed&loo=121.50000&k=0.08900&id2=2060&genusname=Dasyatis&speciesname=pastinaca&gm_loo=175.67097079703&gm_lm=46.636091082636&gm_m=1&gm_k=0.052209093995526&vautoctr=9029&gm_lm_rl=1"">0.09</a>","-1.62","","","","46.0","3.12","Turkey","Iskenderum Bay","No","No"
"2","203.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2255&pref=93210&sex=male&loo=203.00000&k=0.03900&id2=2060&genusname=Dasyatis&speciesname=pastinaca&gm_loo=175.67097079703&gm_lm=46.636091082636&gm_m=1&gm_k=0.052209093995526&vautoctr=11415&gm_lm_rl=1"">0.04</a>","-2.00","M","","","45.0","3.21","Turkey","Cilician basin, NE Mediterranean (36°17'88""- 36°08'83""N; 35°43'90""-33°37'05""E)","Yes","No"
"3","219.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2255&pref=93210&sex=female&loo=219.80000&k=0.04100&id2=2060&genusname=Dasyatis&speciesname=pastinaca&gm_loo=175.67097079703&gm_lm=46.636091082636&gm_m=1&gm_k=0.052209093995526&vautoctr=11416&gm_lm_rl=1"">0.04</a>","-2.61","F","","","49.0","3.30","Turkey","Cilician basin, NE Mediterranean (36°17'88""- 36°08'83""N; 35°43'90""-33°37'05""E)","Yes","No"
